School,SchoolCategory,District,Year,mathNLImet,mathLImet,SchoolType,LowIncome,ELL,SpecialEd,Enrollment,NLIGradRate,LIGradRate
AMBOY MIDDLE SCHOOL,Middle,BATTLE GROUND SD,2008,60.05,55.94,Public,34.59,,12.5,584,,
AMBOY MIDDLE SCHOOL,Middle,BATTLE GROUND SD,2009,64.42,59.92,Public,39.71,,12.48,617,,
AMBOY MIDDLE SCHOOL,Middle,BATTLE GROUND SD,2010,68.94,57.24,Public,47.92,,12.98,624,,
AMISTAD ELEMENTARY S,Elem,KENNEWICK SD,2008,67.38,44.83,Public,41.25,31.91,8.95,257,,
AMISTAD ELEMENTARY S,Elem,KENNEWICK SD,2009,80.43,35.82,Public,61.28,37.59,8.27,266,,
AMISTAD ELEMENTARY S,Elem,KENNEWICK SD,2010,83.08,33.33,Public,75.78,29.41,10.73,289,,
ANACORTES HIGH SCHOO,High,ANACORTES SD,2008,58.9,43.86,Public,28.5,,6.76,207,90.91,58.24
ANACORTES HIGH SCHOO,High,ANACORTES SD,2009,73.03,37.7,Public,30.36,,4.91,224,78.35,52.72
ANACORTES HIGH SCHOOl,High,ANACORTES SD,2010,70.34,39.73,Public,37.37,0,7.07,198,93.07,75.45
ANACORTES MIDDLE SCH,Middle,ANACORTES SD,2008,65.72,39.16,Public,33.95,0,10,430,,
ANACORTES MIDDLE SCH,Middle,ANACORTES SD,2009,70.44,43.15,Public,34.99,,7.57,423,,
ANACORTES MIDDLE SCH,Middle,ANACORTES SD,2010,81.18,61.33,Public,35.46,,7.09,423,,
ANCILLARY,Elem,HIGHLINE SD,2009,,,Alternative,,,,,,
ANDERSON ISLAND ELEM,Elem,STEILACOOM HIST. SD,2008,,,Public,,0,0,13,,
ANDERSON ISLAND ELEM,Elem,STEILACOOM HIST. SD,2009,0,0,Public,,0,,14,,
ANDERSON ISLAND ELEM,Elem,STEILACOOM HIST. SD,2010,0,0,Public,,0,,14,,
ANGELO GIAUDRONE MID,Middle,TACOMA SD,2010,40,25.59,Public,68.91,,13.14,624,,
ANGELO GIAUDRONE MID,Middle,TACOMA SD,2009,43.92,23.64,Public,68.93,,13.27,618,,
ANGELO GIAUDRONE MID,Middle,TACOMA SD,2008,47.37,26.9,Public,67.29,,13.64,645,,
APOLLO ELEMENTARY,Elem,ISSAQUAH SD,2008,81.14,55.88,Public,17.37,5.63,10.8,213,,
