School,District,SchoolCategory,SchoolType,LowIncome,ELL,Enrollment,mathLImet
COOPER ELEMENTARY,SPOKANE SD,Elem,Public,75.73333333,11.12666667,277,65.22666667
COOPER ELEMENTARY SC,SEATTLE PS,Elem,Public,80.375,26.87,132.5,42.45
COSMOPOLIS ELEMENTAR,COSMOPOLIS SD,Elem,Public,36.64333333,0,107.3333333,41.21
COTTONWOOD ELEMENTAR,CENTRAL KITSAP SD,Elem,Public,35.39333333,6.45,212.3333333,58.76666667
COUGAR MOUNTAIN JUNI,BETHEL SD,Middle,Public,39.10333333,0,479.6666667,30.35666667
COUPEVILLE HIGH SCHO,COUPEVILLE SD,High,Public,25.13,0,89.33333333,53.55666667
COVINGTON ELEMENTARY,KENT SD,Elem,Public,46.49,10.47,330.6666667,44.24
COVINGTON MIDDLE SCH,EVERGREEN (CLARK)SD,Middle,Public,56.76333333,5.73,1077,43.11333333
COWEEMAN MIDDLE SCHO,KELSO SD,Middle,Public,47.46666667,1.835,593.6666667,31.66
CRESCENT SCHOOL,CRESCENT SD,Comprehensive,Public,49.82666667,0,107.3333333,41.89333333
CRESTLINE ELEMENTARY,EVERGREEN (CLARK)SD,Elem,Public,61.93666667,11.67333333,222.3333333,42.62
CRESTON JR-SR HIGH S,CRESTON SD,Comprehensive,Public,50.63,0,22,36.36333333
CRESTWOOD ELEMENTARY,KENT SD,Elem,Public,26.97,6.69,299.3333333,47.02333333
CRESTWOOD ELEMENTARY,SUMNER SD,Elem,Public,25.98666667,0,177.3333333,71.26
CRYSTAL SPRINGS ELEM,NORTHSHORE SD,Elem,Public,26.04666667,4.993333333,300.6666667,56.35666667
CURLEW ELEM & HIGH S,CURLEW SD,Comprehensive,Public,52.01333333,0,121.3333333,36.69333333
CURTIS JUNIOR HIGH,UNIVERSITY PL SD,Middle,Public,29.83333333,2.32,481.3333333,33.67333333
CURTIS SENIOR HIGH,UNIVERSITY PL SD,High,Public,27.38666667,0,489.3333333,30.16333333
CUSICK JR SR HIGH SC,CUSICK SD,Comprehensive,Public,53.97666667,0,70.33333333,22.65666667
CUSTER ELEMENTARY SC,CLOVER PARK SD,Elem,Public,69.25333333,8.633333333,131.3333333,50.72666667
DAFFODIL VALLEY ELEM,SUMNER SD,Elem,Public,52.52333333,9.36,224.3333333,50.97
DALLESPORT ELEMENTAR,LYLE SD,Elem,Public,97.86,0,113.6666667,34.81
DANIEL BAGLEY ELEMEN,SEATTLE PS,Elem,Public,20.38333333,0,148,56.77
DARRINGTON ELEMENTAR,DARRINGTON SD,Elem,Public,52.37333333,0,144.6666667,38.18666667
DARRINGTON MIDDLE SC,DARRINGTON SD,Middle,Public,45.17,0,82.33333333,35.87333333
DARRINGTON SR HIGH S,DARRINGTON SD,High,Public,39.83,0,43.33333333,21.66666667
DAVENPORT ELEMENTARY,DAVENPORT SD,Elem,Public,56.62333333,0,190,45.21333333
DAVENPORT SENIOR HIG,DAVENPORT SD,Comprehensive,Public,38.38333333,0,131,28.73333333
DAVIS ELEMENTARY,COLLEGE PLACE SD,Elem,Public,61.18333333,24.98333333,86.66666667,43.15333333
DAVIS HIGH SCHOOL,YAKIMA SD,High,Public,75.57,18.91666667,504,26.96666667
DAYBREAK MIDDLE,BATTLE GROUND SD,Middle,Public,41.95333333,5.01,505.3333333,48.56666667
